I, [2024-10-08T00:10:59.796593 #54012]  INFO -- : Processed file: Products saved to data.json
I, [2024-11-03T00:18:53.374338 #33824]  INFO -- : Generated fake Item: Item: Lightweight Paper Keyboard, Price: 93.36, Cashback: 8%, Link: http://bogan.example/brande, Image: https://loremflickr.com/50/60
I, [2024-11-03T00:22:49.404854 #58068]  INFO -- : Products saved to data.json
I, [2024-11-03T00:22:50.414993 #58068]  INFO -- : Initialized Item: Item: Practical Bronze Shoes, Price: 43.22, Cashback: 2%, Link: http://bednar.example/jacques, Image: https://loremflickr.com/50/60
I, [2024-11-03T00:22:50.415078 #58068]  INFO -- : Generated fake Item: Item: Practical Bronze Shoes, Price: 43.22, Cashback: 2%, Link: http://bednar.example/jacques, Image: https://loremflickr.com/50/60
I, [2024-11-03T00:22:50.415439 #58068]  INFO -- : Initialized Cart with empty items collection
I, [2024-11-03T00:22:50.415712 #58068]  INFO -- : Initialized Item: Item: Fantastic Rubber Gloves, Price: 28.39, Cashback: 6%, Link: http://harber.test/bernardo, Image: https://loremflickr.com/50/60
I, [2024-11-03T00:22:50.415751 #58068]  INFO -- : Generated fake Item: Item: Fantastic Rubber Gloves, Price: 28.39, Cashback: 6%, Link: http://harber.test/bernardo, Image: https://loremflickr.com/50/60
I, [2024-11-03T00:22:50.415784 #58068]  INFO -- : Added item: Item: Fantastic Rubber Gloves, Price: 28.39, Cashback: 6%, Link: http://harber.test/bernardo, Image: https://loremflickr.com/50/60
I, [2024-11-03T00:22:50.416011 #58068]  INFO -- : Initialized Item: Item: Small Silk Keyboard, Price: 71.78, Cashback: 2%, Link: http://jerde.test/kandice.hudson, Image: https://loremflickr.com/50/60
I, [2024-11-03T00:22:50.416047 #58068]  INFO -- : Generated fake Item: Item: Small Silk Keyboard, Price: 71.78, Cashback: 2%, Link: http://jerde.test/kandice.hudson, Image: https://loremflickr.com/50/60
I, [2024-11-03T00:22:50.416076 #58068]  INFO -- : Added item: Item: Small Silk Keyboard, Price: 71.78, Cashback: 2%, Link: http://jerde.test/kandice.hudson, Image: https://loremflickr.com/50/60
I, [2024-11-03T00:22:50.416420 #58068]  INFO -- : Initialized Item: Item: Heavy Duty Copper Bottle, Price: 29.75, Cashback: 4%, Link: http://wuckert.test/jasmin_okon, Image: https://loremflickr.com/50/60
I, [2024-11-03T00:22:50.416456 #58068]  INFO -- : Generated fake Item: Item: Heavy Duty Copper Bottle, Price: 29.75, Cashback: 4%, Link: http://wuckert.test/jasmin_okon, Image: https://loremflickr.com/50/60
I, [2024-11-03T00:22:50.416483 #58068]  INFO -- : Added item: Item: Heavy Duty Copper Bottle, Price: 29.75, Cashback: 4%, Link: http://wuckert.test/jasmin_okon, Image: https://loremflickr.com/50/60
I, [2024-11-03T00:22:50.416701 #58068]  INFO -- : Initialized Item: Item: Incredible Steel Knife, Price: 11.0, Cashback: 4%, Link: http://lindgren.example/elroy_murphy, Image: https://loremflickr.com/50/60
I, [2024-11-03T00:22:50.416734 #58068]  INFO -- : Generated fake Item: Item: Incredible Steel Knife, Price: 11.0, Cashback: 4%, Link: http://lindgren.example/elroy_murphy, Image: https://loremflickr.com/50/60
I, [2024-11-03T00:22:50.416766 #58068]  INFO -- : Added item: Item: Incredible Steel Knife, Price: 11.0, Cashback: 4%, Link: http://lindgren.example/elroy_murphy, Image: https://loremflickr.com/50/60
I, [2024-11-03T00:22:50.416980 #58068]  INFO -- : Initialized Item: Item: Ergonomic Cotton Shirt, Price: 66.5, Cashback: 4%, Link: http://friesen-lindgren.example/fredric, Image: https://loremflickr.com/50/60
I, [2024-11-03T00:22:50.417013 #58068]  INFO -- : Generated fake Item: Item: Ergonomic Cotton Shirt, Price: 66.5, Cashback: 4%, Link: http://friesen-lindgren.example/fredric, Image: https://loremflickr.com/50/60
I, [2024-11-03T00:22:50.417041 #58068]  INFO -- : Added item: Item: Ergonomic Cotton Shirt, Price: 66.5, Cashback: 4%, Link: http://friesen-lindgren.example/fredric, Image: https://loremflickr.com/50/60
I, [2024-11-03T00:22:50.417068 #58068]  INFO -- : Generated 5 test items
I, [2024-11-03T00:22:50.418286 #58068]  INFO -- : Saved items to text file: items.txt
I, [2024-11-03T00:22:50.425387 #58068]  INFO -- : Saved items to JSON file: items.json
I, [2024-11-03T00:22:50.425897 #58068]  INFO -- : Saved items to CSV file: items.csv
I, [2024-11-03T00:25:05.499648 #36860]  INFO -- : Products saved to data.json
I, [2024-11-03T00:25:06.407593 #36860]  INFO -- : Initialized Item: Item: Lightweight Rubber Gloves, Price: 65.54, Cashback: 3%, Link: http://kiehn-wunsch.test/laverna.walter, Image: https://loremflickr.com/50/60
I, [2024-11-03T00:25:06.407726 #36860]  INFO -- : Generated fake Item: Item: Lightweight Rubber Gloves, Price: 65.54, Cashback: 3%, Link: http://kiehn-wunsch.test/laverna.walter, Image: https://loremflickr.com/50/60
I, [2024-11-03T00:25:06.408069 #36860]  INFO -- : Initialized Cart with empty items collection
I, [2024-11-03T00:25:06.408381 #36860]  INFO -- : Initialized Item: Item: Durable Granite Wallet, Price: 79.64, Cashback: 6%, Link: http://fahey.example/faye, Image: https://loremflickr.com/50/60
I, [2024-11-03T00:25:06.408425 #36860]  INFO -- : Generated fake Item: Item: Durable Granite Wallet, Price: 79.64, Cashback: 6%, Link: http://fahey.example/faye, Image: https://loremflickr.com/50/60
I, [2024-11-03T00:25:06.408459 #36860]  INFO -- : Added item: Item: Durable Granite Wallet, Price: 79.64, Cashback: 6%, Link: http://fahey.example/faye, Image: https://loremflickr.com/50/60
I, [2024-11-03T00:25:06.408680 #36860]  INFO -- : Initialized Item: Item: Fantastic Granite Car, Price: 26.17, Cashback: 4%, Link: http://beahan-treutel.test/benjamin_monahan, Image: https://loremflickr.com/50/60
I, [2024-11-03T00:25:06.408714 #36860]  INFO -- : Generated fake Item: Item: Fantastic Granite Car, Price: 26.17, Cashback: 4%, Link: http://beahan-treutel.test/benjamin_monahan, Image: https://loremflickr.com/50/60
I, [2024-11-03T00:25:06.408742 #36860]  INFO -- : Added item: Item: Fantastic Granite Car, Price: 26.17, Cashback: 4%, Link: http://beahan-treutel.test/benjamin_monahan, Image: https://loremflickr.com/50/60
I, [2024-11-03T00:25:06.409059 #36860]  INFO -- : Initialized Item: Item: Ergonomic Steel Pants, Price: 93.76, Cashback: 9%, Link: http://connelly-quitzon.test/shanel, Image: https://loremflickr.com/50/60
I, [2024-11-03T00:25:06.409093 #36860]  INFO -- : Generated fake Item: Item: Ergonomic Steel Pants, Price: 93.76, Cashback: 9%, Link: http://connelly-quitzon.test/shanel, Image: https://loremflickr.com/50/60
I, [2024-11-03T00:25:06.409120 #36860]  INFO -- : Added item: Item: Ergonomic Steel Pants, Price: 93.76, Cashback: 9%, Link: http://connelly-quitzon.test/shanel, Image: https://loremflickr.com/50/60
I, [2024-11-03T00:25:06.409333 #36860]  INFO -- : Initialized Item: Item: Awesome Rubber Pants, Price: 41.63, Cashback: 6%, Link: http://lebsack.test/emery, Image: https://loremflickr.com/50/60
I, [2024-11-03T00:25:06.409366 #36860]  INFO -- : Generated fake Item: Item: Awesome Rubber Pants, Price: 41.63, Cashback: 6%, Link: http://lebsack.test/emery, Image: https://loremflickr.com/50/60
I, [2024-11-03T00:25:06.409393 #36860]  INFO -- : Added item: Item: Awesome Rubber Pants, Price: 41.63, Cashback: 6%, Link: http://lebsack.test/emery, Image: https://loremflickr.com/50/60
I, [2024-11-03T00:25:06.409609 #36860]  INFO -- : Initialized Item: Item: Heavy Duty Wool Shirt, Price: 25.13, Cashback: 5%, Link: http://glover.example/darcey, Image: https://loremflickr.com/50/60
I, [2024-11-03T00:25:06.409645 #36860]  INFO -- : Generated fake Item: Item: Heavy Duty Wool Shirt, Price: 25.13, Cashback: 5%, Link: http://glover.example/darcey, Image: https://loremflickr.com/50/60
I, [2024-11-03T00:25:06.409673 #36860]  INFO -- : Added item: Item: Heavy Duty Wool Shirt, Price: 25.13, Cashback: 5%, Link: http://glover.example/darcey, Image: https://loremflickr.com/50/60
I, [2024-11-03T00:25:06.409700 #36860]  INFO -- : Generated 5 test items
I, [2024-11-03T00:25:06.410720 #36860]  INFO -- : Saved items to text file: items.txt
I, [2024-11-03T00:25:06.410999 #36860]  INFO -- : Saved items to JSON file: items.json
I, [2024-11-03T00:25:06.411464 #36860]  INFO -- : Saved items to CSV file: items.csv
I, [2024-11-03T00:25:06.419923 #36860]  INFO -- : Saved item to YAML file: yml_items/durable_granite_wallet.yml
I, [2024-11-03T00:25:06.420457 #36860]  INFO -- : Saved item to YAML file: yml_items/fantastic_granite_car.yml
I, [2024-11-03T00:25:06.421576 #36860]  INFO -- : Saved item to YAML file: yml_items/ergonomic_steel_pants.yml
I, [2024-11-03T00:25:06.422172 #36860]  INFO -- : Saved item to YAML file: yml_items/awesome_rubber_pants.yml
I, [2024-11-03T00:25:06.432191 #36860]  INFO -- : Saved item to YAML file: yml_items/heavy_duty_wool_shirt.yml
I, [2024-11-03T00:25:06.432295 #36860]  INFO -- : Initialized Item: Item: New Item, Price: 29.99, Cashback: 0.1, Link: http://example.com/new_item, Image: new_item.jpg
I, [2024-11-03T00:25:06.432348 #36860]  INFO -- : Added item: Item: New Item, Price: 29.99, Cashback: 0.1, Link: http://example.com/new_item, Image: new_item.jpg
I, [2024-11-03T00:25:06.436330 #36860]  INFO -- : Removed item: Item: New Item, Price: 29.99, Cashback: 0.1, Link: http://example.com/new_item, Image: new_item.jpg
I, [2024-11-03T00:25:06.438255 #36860]  INFO -- : Deleted all items from the collection
I, [2024-11-03T00:25:18.003440 #36860]  INFO -- : Products saved to data.json
I, [2024-11-03T00:25:18.004421 #36860]  INFO -- : Initialized Item: Item: Incredible Plastic Gloves, Price: 21.93, Cashback: 10%, Link: http://corwin.test/glen, Image: https://loremflickr.com/50/60
I, [2024-11-03T00:25:18.006244 #36860]  INFO -- : Generated fake Item: Item: Incredible Plastic Gloves, Price: 21.93, Cashback: 10%, Link: http://corwin.test/glen, Image: https://loremflickr.com/50/60
I, [2024-11-03T00:25:18.007122 #36860]  INFO -- : Initialized Cart with empty items collection
I, [2024-11-03T00:25:18.007457 #36860]  INFO -- : Initialized Item: Item: Rustic Bronze Car, Price: 85.84, Cashback: 2%, Link: http://damore-homenick.example/modesta_jast, Image: https://loremflickr.com/50/60
I, [2024-11-03T00:25:18.007500 #36860]  INFO -- : Generated fake Item: Item: Rustic Bronze Car, Price: 85.84, Cashback: 2%, Link: http://damore-homenick.example/modesta_jast, Image: https://loremflickr.com/50/60
I, [2024-11-03T00:25:18.007533 #36860]  INFO -- : Added item: Item: Rustic Bronze Car, Price: 85.84, Cashback: 2%, Link: http://damore-homenick.example/modesta_jast, Image: https://loremflickr.com/50/60
I, [2024-11-03T00:25:18.007785 #36860]  INFO -- : Initialized Item: Item: Mediocre Linen Clock, Price: 91.8, Cashback: 5%, Link: http://macejkovic.example/agueda_robel, Image: https://loremflickr.com/50/60
I, [2024-11-03T00:25:18.007840 #36860]  INFO -- : Generated fake Item: Item: Mediocre Linen Clock, Price: 91.8, Cashback: 5%, Link: http://macejkovic.example/agueda_robel, Image: https://loremflickr.com/50/60
I, [2024-11-03T00:25:18.007885 #36860]  INFO -- : Added item: Item: Mediocre Linen Clock, Price: 91.8, Cashback: 5%, Link: http://macejkovic.example/agueda_robel, Image: https://loremflickr.com/50/60
I, [2024-11-03T00:25:18.008246 #36860]  INFO -- : Initialized Item: Item: Awesome Iron Watch, Price: 34.93, Cashback: 6%, Link: http://zulauf.test/neil_herzog, Image: https://loremflickr.com/50/60
I, [2024-11-03T00:25:18.008464 #36860]  INFO -- : Generated fake Item: Item: Awesome Iron Watch, Price: 34.93, Cashback: 6%, Link: http://zulauf.test/neil_herzog, Image: https://loremflickr.com/50/60
I, [2024-11-03T00:25:18.008543 #36860]  INFO -- : Added item: Item: Awesome Iron Watch, Price: 34.93, Cashback: 6%, Link: http://zulauf.test/neil_herzog, Image: https://loremflickr.com/50/60
I, [2024-11-03T00:25:18.008917 #36860]  INFO -- : Initialized Item: Item: Mediocre Bronze Clock, Price: 36.87, Cashback: 3%, Link: http://treutel.test/tawnya_thompson, Image: https://loremflickr.com/50/60
I, [2024-11-03T00:25:18.008976 #36860]  INFO -- : Generated fake Item: Item: Mediocre Bronze Clock, Price: 36.87, Cashback: 3%, Link: http://treutel.test/tawnya_thompson, Image: https://loremflickr.com/50/60
I, [2024-11-03T00:25:18.009022 #36860]  INFO -- : Added item: Item: Mediocre Bronze Clock, Price: 36.87, Cashback: 3%, Link: http://treutel.test/tawnya_thompson, Image: https://loremflickr.com/50/60
I, [2024-11-03T00:25:18.009424 #36860]  INFO -- : Initialized Item: Item: Incredible Leather Gloves, Price: 48.48, Cashback: 6%, Link: http://oberbrunner.test/errol, Image: https://loremflickr.com/50/60
I, [2024-11-03T00:25:18.009520 #36860]  INFO -- : Generated fake Item: Item: Incredible Leather Gloves, Price: 48.48, Cashback: 6%, Link: http://oberbrunner.test/errol, Image: https://loremflickr.com/50/60
I, [2024-11-03T00:25:18.009575 #36860]  INFO -- : Added item: Item: Incredible Leather Gloves, Price: 48.48, Cashback: 6%, Link: http://oberbrunner.test/errol, Image: https://loremflickr.com/50/60
I, [2024-11-03T00:25:18.009617 #36860]  INFO -- : Generated 5 test items
I, [2024-11-03T00:25:18.011454 #36860]  INFO -- : Saved items to text file: items.txt
I, [2024-11-03T00:25:18.011811 #36860]  INFO -- : Saved items to JSON file: items.json
I, [2024-11-03T00:25:18.015243 #36860]  INFO -- : Saved items to CSV file: items.csv
I, [2024-11-03T00:25:18.016527 #36860]  INFO -- : Saved item to YAML file: yml_items/rustic_bronze_car.yml
I, [2024-11-03T00:25:18.027704 #36860]  INFO -- : Saved item to YAML file: yml_items/mediocre_linen_clock.yml
I, [2024-11-03T00:25:18.033759 #36860]  INFO -- : Saved item to YAML file: yml_items/awesome_iron_watch.yml
I, [2024-11-03T00:25:18.035767 #36860]  INFO -- : Saved item to YAML file: yml_items/mediocre_bronze_clock.yml
I, [2024-11-03T00:25:18.038407 #36860]  INFO -- : Saved item to YAML file: yml_items/incredible_leather_gloves.yml
I, [2024-11-03T00:25:18.039382 #36860]  INFO -- : Initialized Item: Item: New Item, Price: 29.99, Cashback: 0.1, Link: http://example.com/new_item, Image: new_item.jpg
I, [2024-11-03T00:25:18.041671 #36860]  INFO -- : Added item: Item: New Item, Price: 29.99, Cashback: 0.1, Link: http://example.com/new_item, Image: new_item.jpg
I, [2024-11-03T00:25:18.043768 #36860]  INFO -- : Removed item: Item: New Item, Price: 29.99, Cashback: 0.1, Link: http://example.com/new_item, Image: new_item.jpg
I, [2024-11-03T00:25:18.044905 #36860]  INFO -- : Deleted all items from the collection
I, [2024-11-04T23:47:55.522370 #54716]  INFO -- : Products saved to data.json
I, [2024-11-04T23:47:58.199651 #54716]  INFO -- : Initialized Item: Item: Awesome Linen Bag, Price: 87.77, Cashback: 5%, Link: http://romaguera.test/graciela, Image: https://loremflickr.com/50/60
I, [2024-11-04T23:47:58.199739 #54716]  INFO -- : Generated fake Item: Item: Awesome Linen Bag, Price: 87.77, Cashback: 5%, Link: http://romaguera.test/graciela, Image: https://loremflickr.com/50/60
I, [2024-11-04T23:47:58.200132 #54716]  INFO -- : Initialized Cart with empty items collection
I, [2024-11-04T23:47:58.200438 #54716]  INFO -- : Initialized Item: Item: Sleek Rubber Watch, Price: 36.22, Cashback: 4%, Link: http://turcotte-rogahn.example/neal, Image: https://loremflickr.com/50/60
I, [2024-11-04T23:47:58.200484 #54716]  INFO -- : Generated fake Item: Item: Sleek Rubber Watch, Price: 36.22, Cashback: 4%, Link: http://turcotte-rogahn.example/neal, Image: https://loremflickr.com/50/60
I, [2024-11-04T23:47:58.200519 #54716]  INFO -- : Added item: Item: Sleek Rubber Watch, Price: 36.22, Cashback: 4%, Link: http://turcotte-rogahn.example/neal, Image: https://loremflickr.com/50/60
I, [2024-11-04T23:47:58.200766 #54716]  INFO -- : Initialized Item: Item: Heavy Duty Silk Watch, Price: 45.18, Cashback: 3%, Link: http://hammes-purdy.example/conrad, Image: https://loremflickr.com/50/60
I, [2024-11-04T23:47:58.200802 #54716]  INFO -- : Generated fake Item: Item: Heavy Duty Silk Watch, Price: 45.18, Cashback: 3%, Link: http://hammes-purdy.example/conrad, Image: https://loremflickr.com/50/60
I, [2024-11-04T23:47:58.200830 #54716]  INFO -- : Added item: Item: Heavy Duty Silk Watch, Price: 45.18, Cashback: 3%, Link: http://hammes-purdy.example/conrad, Image: https://loremflickr.com/50/60
I, [2024-11-04T23:47:58.201087 #54716]  INFO -- : Initialized Item: Item: Aerodynamic Leather Car, Price: 81.08, Cashback: 2%, Link: http://collier.example/kenny, Image: https://loremflickr.com/50/60
I, [2024-11-04T23:47:58.201122 #54716]  INFO -- : Generated fake Item: Item: Aerodynamic Leather Car, Price: 81.08, Cashback: 2%, Link: http://collier.example/kenny, Image: https://loremflickr.com/50/60
I, [2024-11-04T23:47:58.201150 #54716]  INFO -- : Added item: Item: Aerodynamic Leather Car, Price: 81.08, Cashback: 2%, Link: http://collier.example/kenny, Image: https://loremflickr.com/50/60
I, [2024-11-04T23:47:58.201401 #54716]  INFO -- : Initialized Item: Item: Intelligent Paper Knife, Price: 27.12, Cashback: 3%, Link: http://raynor-wilderman.test/andy, Image: https://loremflickr.com/50/60
I, [2024-11-04T23:47:58.201438 #54716]  INFO -- : Generated fake Item: Item: Intelligent Paper Knife, Price: 27.12, Cashback: 3%, Link: http://raynor-wilderman.test/andy, Image: https://loremflickr.com/50/60
I, [2024-11-04T23:47:58.201466 #54716]  INFO -- : Added item: Item: Intelligent Paper Knife, Price: 27.12, Cashback: 3%, Link: http://raynor-wilderman.test/andy, Image: https://loremflickr.com/50/60
I, [2024-11-04T23:47:58.201739 #54716]  INFO -- : Initialized Item: Item: Ergonomic Plastic Wallet, Price: 36.94, Cashback: 9%, Link: http://leannon.example/tabatha.durgan, Image: https://loremflickr.com/50/60
I, [2024-11-04T23:47:58.201774 #54716]  INFO -- : Generated fake Item: Item: Ergonomic Plastic Wallet, Price: 36.94, Cashback: 9%, Link: http://leannon.example/tabatha.durgan, Image: https://loremflickr.com/50/60
I, [2024-11-04T23:47:58.201802 #54716]  INFO -- : Added item: Item: Ergonomic Plastic Wallet, Price: 36.94, Cashback: 9%, Link: http://leannon.example/tabatha.durgan, Image: https://loremflickr.com/50/60
I, [2024-11-04T23:47:58.201827 #54716]  INFO -- : Generated 5 test items
I, [2024-11-04T23:47:58.202941 #54716]  INFO -- : Saved items to text file: items.txt
I, [2024-11-04T23:47:58.203489 #54716]  INFO -- : Saved items to JSON file: items.json
I, [2024-11-04T23:47:58.204271 #54716]  INFO -- : Saved items to CSV file: items.csv
I, [2024-11-04T23:47:58.206437 #54716]  INFO -- : Saved item to YAML file: yml_items/sleek_rubber_watch.yml
I, [2024-11-04T23:47:58.207060 #54716]  INFO -- : Saved item to YAML file: yml_items/heavy_duty_silk_watch.yml
I, [2024-11-04T23:47:58.211623 #54716]  INFO -- : Saved item to YAML file: yml_items/aerodynamic_leather_car.yml
I, [2024-11-04T23:47:58.216164 #54716]  INFO -- : Saved item to YAML file: yml_items/intelligent_paper_knife.yml
I, [2024-11-04T23:47:58.216561 #54716]  INFO -- : Saved item to YAML file: yml_items/ergonomic_plastic_wallet.yml
I, [2024-11-04T23:47:58.216628 #54716]  INFO -- : Initialized Item: Item: New Item, Price: 29.99, Cashback: 0.1, Link: http://example.com/new_item, Image: new_item.jpg
I, [2024-11-04T23:47:58.216677 #54716]  INFO -- : Added item: Item: New Item, Price: 29.99, Cashback: 0.1, Link: http://example.com/new_item, Image: new_item.jpg
I, [2024-11-04T23:47:58.223475 #54716]  INFO -- : Removed item: Item: New Item, Price: 29.99, Cashback: 0.1, Link: http://example.com/new_item, Image: new_item.jpg
I, [2024-11-04T23:47:58.228847 #54716]  INFO -- : Deleted all items from the collection
I, [2024-11-04T23:48:10.554515 #54716]  INFO -- : Products saved to data.json
I, [2024-11-04T23:48:10.556191 #54716]  INFO -- : Initialized Item: Item: Fantastic Plastic Shirt, Price: 33.06, Cashback: 9%, Link: http://littel.test/tenisha, Image: https://loremflickr.com/50/60
I, [2024-11-04T23:48:10.556287 #54716]  INFO -- : Generated fake Item: Item: Fantastic Plastic Shirt, Price: 33.06, Cashback: 9%, Link: http://littel.test/tenisha, Image: https://loremflickr.com/50/60
I, [2024-11-04T23:48:10.558265 #54716]  INFO -- : Initialized Cart with empty items collection
I, [2024-11-04T23:48:10.559669 #54716]  INFO -- : Initialized Item: Item: Sleek Granite Hat, Price: 39.13, Cashback: 7%, Link: http://tromp.example/cherlyn_kunde, Image: https://loremflickr.com/50/60
I, [2024-11-04T23:48:10.560194 #54716]  INFO -- : Generated fake Item: Item: Sleek Granite Hat, Price: 39.13, Cashback: 7%, Link: http://tromp.example/cherlyn_kunde, Image: https://loremflickr.com/50/60
I, [2024-11-04T23:48:10.560247 #54716]  INFO -- : Added item: Item: Sleek Granite Hat, Price: 39.13, Cashback: 7%, Link: http://tromp.example/cherlyn_kunde, Image: https://loremflickr.com/50/60
I, [2024-11-04T23:48:10.561019 #54716]  INFO -- : Initialized Item: Item: Practical Linen Plate, Price: 74.46, Cashback: 4%, Link: http://hane-pollich.example/lorri, Image: https://loremflickr.com/50/60
I, [2024-11-04T23:48:10.561129 #54716]  INFO -- : Generated fake Item: Item: Practical Linen Plate, Price: 74.46, Cashback: 4%, Link: http://hane-pollich.example/lorri, Image: https://loremflickr.com/50/60
I, [2024-11-04T23:48:10.561175 #54716]  INFO -- : Added item: Item: Practical Linen Plate, Price: 74.46, Cashback: 4%, Link: http://hane-pollich.example/lorri, Image: https://loremflickr.com/50/60
I, [2024-11-04T23:48:10.561900 #54716]  INFO -- : Initialized Item: Item: Durable Iron Bottle, Price: 72.04, Cashback: 2%, Link: http://blick.example/teofila_kilback, Image: https://loremflickr.com/50/60
I, [2024-11-04T23:48:10.562672 #54716]  INFO -- : Generated fake Item: Item: Durable Iron Bottle, Price: 72.04, Cashback: 2%, Link: http://blick.example/teofila_kilback, Image: https://loremflickr.com/50/60
I, [2024-11-04T23:48:10.563113 #54716]  INFO -- : Added item: Item: Durable Iron Bottle, Price: 72.04, Cashback: 2%, Link: http://blick.example/teofila_kilback, Image: https://loremflickr.com/50/60
I, [2024-11-04T23:48:10.599850 #54716]  INFO -- : Initialized Item: Item: Fantastic Paper Bag, Price: 76.14, Cashback: 7%, Link: http://heaney.test/garnet.tremblay, Image: https://loremflickr.com/50/60
I, [2024-11-04T23:48:10.609978 #54716]  INFO -- : Generated fake Item: Item: Fantastic Paper Bag, Price: 76.14, Cashback: 7%, Link: http://heaney.test/garnet.tremblay, Image: https://loremflickr.com/50/60
I, [2024-11-04T23:48:10.610046 #54716]  INFO -- : Added item: Item: Fantastic Paper Bag, Price: 76.14, Cashback: 7%, Link: http://heaney.test/garnet.tremblay, Image: https://loremflickr.com/50/60
I, [2024-11-04T23:48:10.611877 #54716]  INFO -- : Initialized Item: Item: Lightweight Steel Lamp, Price: 54.62, Cashback: 7%, Link: http://raynor-satterfield.example/talitha.wisozk, Image: https://loremflickr.com/50/60
I, [2024-11-04T23:48:10.611958 #54716]  INFO -- : Generated fake Item: Item: Lightweight Steel Lamp, Price: 54.62, Cashback: 7%, Link: http://raynor-satterfield.example/talitha.wisozk, Image: https://loremflickr.com/50/60
I, [2024-11-04T23:48:10.612031 #54716]  INFO -- : Added item: Item: Lightweight Steel Lamp, Price: 54.62, Cashback: 7%, Link: http://raynor-satterfield.example/talitha.wisozk, Image: https://loremflickr.com/50/60
I, [2024-11-04T23:48:10.612073 #54716]  INFO -- : Generated 5 test items
I, [2024-11-04T23:48:10.614267 #54716]  INFO -- : Saved items to text file: items.txt
I, [2024-11-04T23:48:10.615365 #54716]  INFO -- : Saved items to JSON file: items.json
I, [2024-11-04T23:48:10.627403 #54716]  INFO -- : Saved items to CSV file: items.csv
